Open,High,Low,Close,Volume
29700,30000,29680,30000,10588400
29960,30040,29300,29300,12647050
29800,30000,29360,30000,11357700
29840,30040,29780,29980,10887800
30040,30040,29440,29700,8009300
29960,29960,28980,29020,12218400
29020,29080,28500,28740,13006800
28220,28560,28140,28200,13681350
28500,28680,28180,28560,8563850
28800,29320,28720,29120,9784900
28900,28980,28380,28380,9995200
29100,29100,28480,28480,10132150
28680,29240,28640,29240,8339250
29400,29520,29300,29480,6386800
29660,29780,29540,29780,8183550
29460,29740,29280,29400,8178150
29440,29440,28640,28800,9019800
28820,29120,28620,29000,8574600
29020,29440,29020,29300,6615300
29160,29580,29100,29580,8586250
29340,29520,29200,29400,9351700
29600,29880,29580,29880,10644900
29980,29980,29700,29880,6752200
30000,30060,29340,29340,7487800
29280,29560,29140,29220,7798600
29000,29060,28620,28640,10844000
28660,28920,28440,28800,10479650
29080,29080,28560,28560,9147450
28800,29080,28800,29080,6996900
28820,29020,28620,28800,7755600
28520,28880,28320,28400,10629150
27920,28200,27920,28200,14962050
28200,28220,27800,27800,10053250
27820,28080,27660,28000,8954400
28340,28340,27860,27900,7762400
28100,28200,27880,28020,10899200
28360,28680,28360,28540,10552400
28260,28540,28260,28540,8407400
28740,28760,28580,28660,10639200
28600,28640,28300,28300,10980350
28160,28300,28020,28160,12307800
28200,28220,27900,27920,10510000
27920,27940,27200,27440,16908100
26960,27100,26040,26180,31025000
26000,26220,25740,25920,26496600
26060,26400,25920,26140,19735800
26000,26360,25900,26080,19763200
26000,26080,25740,25820,20474650
26140,26140,25500,25500,21250950
25500,25720,25440,25440,18189150
25660,25940,25460,25900,16449350
25940,26600,25800,26260,14716650
26600,26620,25960,25980,11747450
26000,26200,25860,26020,9752450
26020,26300,25840,25840,12774250
26100,26380,25920,26320,8682800
26300,26540,26220,26480,7562300
26280,26560,26240,26560,10826500
26320,26440,25980,25980,10336950
26000,26360,25820,26140,14001750
25860,26080,25700,25840,13346300
25460,25860,25460,25660,11701350
25600,25760,25540,25600,19181850
25720,25760,25420,25440,16259200
25260,25260,24980,24980,16033000
24900,25100,24680,24740,14926650
24900,25340,24800,25180,15197450
25500,25580,25260,25500,9943600
25420,25620,25240,25540,7799650
25620,26300,25440,26220,12684000
26620,26620,26100,26140,10027400
26000,26400,25800,25960,5838450
25920,26160,25840,26020,6220750
25840,26120,25600,25700,9386650
25700,25980,25640,25900,5910650
26000,26000,25600,25800,6179750
25800,25920,25620,25720,9543300
26660,26660,26000,26600,14346200
26680,26900,26420,26560,7425050
26640,26800,26520,26680,8785300
26740,26860,26500,26840,12918050
26700,26840,26600,26820,7891350
26740,26980,26640,26980,14232350
26720,26800,26420,26500,12104150
26400,26580,26300,26300,7900150
26700,26820,26600,26600,7491500
26580,26580,26200,26520,8616750
26780,26780,26580,26780,7548650
26400,26600,26340,26400,8657600
26400,26540,26180,26440,9079800
26400,26400,25860,25880,12579250
25880,26260,25800,25800,11750200
25400,25700,25400,25500,10836800
25500,25520,25160,25320,8820000
25400,25660,25320,25560,11045600
25600,25700,25360,25380,7638550
25400,25440,25240,25240,5939400
25380,25460,25240,25460,8321300
25200,25480,25180,25460,7073900
25380,25400,24820,24940,13625000
25380,25800,24960,25700,17444700
25800,26660,25700,26660,20877850
26400,26760,26400,26700,10648700
26900,26900,26440,26860,13259850
26900,26900,26620,26780,11081000
27000,27140,26860,27140,13100050
27020,27900,27020,27800,19098800
27540,27940,27540,27600,18400350
27940,27940,27480,27940,10761750
27740,27980,27500,27880,10608200
27880,27900,27280,27420,16061600
27380,27600,27200,27600,9999200
27240,27360,27180,27300,10659350
27300,27720,27300,27400,10586000
27720,27740,27380,27400,10969800
27400,27840,27260,27600,9308550
27520,27600,27320,27400,7241650
27400,27580,27400,27560,9518350
27580,27720,27500,27600,3299250
27480,27680,27420,27500,6084300
27880,27900,27640,27780,9500750
28180,28180,27980,28140,10546200
28400,28560,27960,27980,15269800
28080,28120,27640,27760,9431450
27780,27900,27020,27200,10909200
27600,27620,26520,26860,15047300
27080,27180,26880,26920,14943350
27000,27120,26800,26880,14189700
27100,27100,26880,27000,16281900
27120,27160,26520,26700,13157050
26720,27900,26640,27760,15944800
27760,28500,27760,28000,12107400
28180,28300,28020,28300,11103750
