p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd(deg)
992.51,19.53,293.32,9.82,53.41,22.75,12.15,10.6,7.65,12.24,1175.82,2.8,4.76,221.2
992.56,19.6,293.39,9.97,53.71,22.85,12.27,10.58,7.73,12.36,1175.55,3.21,6.41,222
992.57,19.38,293.16,9.6,53.1,22.54,11.97,10.57,7.53,12.06,1176.58,3.86,7.37,222.7
992.66,19.27,293.05,9.4,52.76,22.38,11.81,10.57,7.43,11.9,1177.2,3.35,6.48,251.6
992.71,19.33,293.1,9.84,54.12,22.47,12.16,10.31,7.65,12.25,1176.86,2.34,4.4,235.9
992.74,19.06,292.83,10.07,55.91,22.09,12.35,9.74,7.78,12.44,1177.9,3.28,5.28,214.6
992.88,18.31,292.07,10.33,59.64,21.08,12.57,8.51,7.91,12.66,1180.99,3.15,5.08,222.4
993.04,17.8,291.54,10.59,62.63,20.41,12.78,7.63,8.05,12.87,1183.16,2.73,4.16,219.6
993.2,17.47,291.2,10.7,64.45,19.99,12.89,7.11,8.11,12.97,1184.65,2.13,4.1,229.5
993.33,17.24,290.96,10.77,65.68,19.7,12.94,6.76,8.14,13.03,1185.71,1.64,3.12,243.6
993.36,17.11,290.82,10.92,66.88,19.54,13.07,6.47,8.22,13.16,1186.22,1.87,3,226.3
993.49,16.89,290.59,11.02,68.29,19.27,13.16,6.11,8.28,13.25,1187.25,1.55,2.6,225.3
993.66,16.64,290.33,11.02,69.4,18.97,13.16,5.8,8.28,13.25,1188.47,1.37,2.48,227
993.89,16.4,290.07,10.97,70.2,18.68,13.11,5.57,8.25,13.19,1189.75,1.93,3.1,226
994.13,16.2,289.85,10.9,70.8,18.44,13.06,5.39,8.21,13.14,1190.89,2.25,3.72,223
994.3,16,289.63,10.84,71.4,18.21,13,5.21,8.17,13.08,1191.94,1.95,3.04,244.3
994.42,15.79,289.41,10.74,71.9,17.97,12.92,5.05,8.12,12.99,1192.99,1.5,2.48,237.6
994.52,15.69,289.3,10.69,72.1,17.85,12.87,4.98,8.09,12.94,1193.55,0.92,1.84,245.2
994.68,15.58,289.18,10.62,72.3,17.73,12.82,4.91,8.05,12.89,1194.22,0.78,1.52,258.4
994.84,15.53,289.12,10.59,72.4,17.67,12.79,4.88,8.04,12.86,1194.63,1.07,2.04,229.9
994.94,15.4,288.98,10.57,72.9,17.52,12.77,4.75,8.03,12.84,1195.3,1.16,2.16,229.5
995.02,15.31,288.88,10.53,73.1,17.42,12.74,4.69,8,12.8,1195.78,1.33,2.06,245.7
995.1,15.25,288.82,10.47,73.1,17.36,12.69,4.67,7.97,12.75,1196.15,1.15,1.68,255.7
995.14,15.19,288.75,10.41,73.1,17.29,12.64,4.65,7.94,12.7,1196.48,1.32,2.16,230.6
995.26,15.13,288.68,10.35,73.1,17.22,12.59,4.63,7.91,12.65,1196.89,0.72,1.9,192.8
995.36,15.01,288.55,10.28,73.3,17.09,12.53,4.56,7.87,12.58,1197.53,0.93,1.64,203.7
995.38,14.87,288.41,10.21,73.6,16.94,12.46,4.47,7.83,12.52,1198.17,0.55,1.32,224.5
995.37,14.69,288.23,10.13,74.1,16.74,12.4,4.34,7.79,12.46,1198.94,0.81,1.84,212.4
995.38,14.65,288.19,10.1,74.1,16.7,12.37,4.32,7.77,12.43,1199.13,0.79,1.56,233.1
995.47,14.55,288.08,10.1,74.6,16.59,12.38,4.21,7.77,12.43,1199.66,0.86,1.56,253.2
995.57,14.47,288,10.16,75.3,16.5,12.43,4.08,7.8,12.48,1200.08,1.35,2.04,238.6
995.49,14.43,287.96,10.2,75.7,16.46,12.46,4,7.82,12.52,1200.14,0.88,1.3,231.5
995.49,14.51,288.04,10.28,75.7,16.55,12.53,4.02,7.86,12.58,1199.77,1.61,2.76,246.3
995.47,14.56,288.09,10.37,75.9,16.6,12.6,4,7.91,12.66,1199.51,2.14,3.16,250.6
995.53,14.59,288.12,10.44,76.1,16.63,12.66,3.98,7.95,12.71,1199.43,1.42,2.52,248.8
995.63,14.61,288.13,10.47,76.2,16.65,12.69,3.96,7.97,12.75,1199.46,1.3,2.54,249.1
995.73,14.68,288.19,10.52,76.1,16.73,12.73,4,7.99,12.79,1199.27,1.65,2.36,242.7
995.79,14.71,288.22,10.57,76.2,16.76,12.77,3.99,8.02,12.83,1199.19,0.4,1.24,286.8
995.86,14.73,288.23,10.59,76.2,16.78,12.79,3.99,8.03,12.84,1199.19,0.67,1.28,192.5
995.91,14.79,288.29,10.63,76.1,16.85,12.82,4.03,8.05,12.87,1198.99,0.65,1.28,162
995.99,14.46,287.95,10.7,78.1,16.49,12.88,3.61,8.08,12.93,1200.43,1.39,2.4,107
996.07,14.38,287.86,10.75,78.8,16.41,12.93,3.48,8.11,12.98,1200.83,1.7,2.84,133.7
996.14,14.36,287.84,10.75,78.9,16.39,12.93,3.46,8.11,12.98,1201,1.53,2.6,160.2
996.23,14.25,287.72,10.76,79.5,16.27,12.93,3.34,8.12,12.98,1201.57,1.03,2.48,198.6
996.23,14.11,287.58,10.76,80.2,16.12,12.93,3.19,8.11,12.98,1202.16,0.71,1.32,217
996.23,14.03,287.5,10.79,80.8,16.04,12.96,3.08,8.13,13.01,1202.48,0.8,1.58,176.2
996.17,13.95,287.43,10.82,81.4,15.96,12.99,2.97,8.15,13.04,1202.73,0.66,1.36,178.3
996.18,13.99,287.46,10.9,81.6,16,13.05,2.94,8.19,13.1,1202.54,0.31,1.36,63.88
996.16,13.96,287.44,10.91,81.8,15.97,13.06,2.91,8.2,13.11,1202.65,1.38,2.8,137.5
996.19,13.87,287.34,10.89,82.2,15.87,13.05,2.83,8.19,13.1,1203.06,1.98,3.36,152.1
996.2,13.88,287.35,10.86,82,15.88,13.03,2.86,8.17,13.07,1203.05,1.78,3.12,151.8
996.23,13.89,287.36,10.87,82,15.89,13.03,2.86,8.18,13.08,1203.04,1.68,3.2,150.2
996.24,13.97,287.44,10.92,81.8,15.98,13.07,2.91,8.2,13.12,1202.69,1.21,2.44,162.2
996.24,14.04,287.51,10.93,81.5,16.05,13.08,2.97,8.21,13.13,1202.39,0.95,1.88,192.7
996.25,13.96,287.43,10.94,82,15.97,13.09,2.87,8.22,13.14,1202.74,0.83,1.64,213.8
996.31,13.99,287.45,10.97,82,16,13.12,2.88,8.23,13.17,1202.68,0.77,1.76,144.4
996.36,13.96,287.42,10.92,81.9,15.97,13.08,2.89,8.2,13.12,1202.87,1.26,1.88,155.3
996.37,13.98,287.44,10.98,82.1,15.99,13.13,2.86,8.24,13.17,1202.78,1.08,2.04,183.9
996.37,13.92,287.38,10.99,82.5,15.93,13.14,2.79,8.24,13.19,1203.03,0.52,1.36,139.3
996.45,13.99,287.44,11.1,82.7,16,13.23,2.77,8.3,13.28,1202.79,0.73,1.84,114.7
996.58,13.96,287.4,11.09,82.8,15.97,13.22,2.75,8.29,13.27,1203.08,0.91,1.72,134
996.69,13.87,287.3,11.05,83.1,15.87,13.19,2.68,8.27,13.24,1203.61,0.52,1.84,296.3
996.72,13.88,287.31,11.06,83.1,15.88,13.2,2.68,8.28,13.24,1203.59,0.63,1.48,159.2
996.83,14.01,287.43,11.19,83.1,16.02,13.31,2.71,8.35,13.35,1203.13,0.89,1.82,97.9
996.99,14.15,287.56,11.18,82.3,16.17,13.3,2.86,8.34,13.34,1202.74,0.65,1.48,127.6
997.01,14.13,287.54,11.22,82.6,16.14,13.34,2.81,8.36,13.38,1202.83,0.64,1.44,206.1
997.03,14.19,287.59,11.29,82.7,16.21,13.4,2.8,8.4,13.44,1202.58,0.54,1.18,92.9
997.1,14.44,287.84,11.39,81.9,16.47,13.49,2.98,8.46,13.53,1201.58,0.63,1.48,20.43
997.21,14.37,287.76,11.36,82.1,16.4,13.46,2.94,8.44,13.5,1202.02,0.79,1.62,80.5
997.29,14.2,287.58,11.34,82.9,16.22,13.44,2.77,8.43,13.48,1202.83,0.84,1.76,99.2
997.39,14.07,287.45,11.36,83.7,16.08,13.46,2.62,8.44,13.5,1203.49,0.82,1.68,79.4
997.54,14.12,287.48,11.37,83.5,16.13,13.47,2.66,8.44,13.51,1203.45,0.74,1.16,65.88
997.68,14.26,287.61,11.42,83,16.28,13.51,2.77,8.47,13.54,1203.03,0.55,1.2,85.2
997.73,14.36,287.71,11.42,82.5,16.39,13.52,2.87,8.47,13.55,1202.67,0.47,0.92,161.3
997.83,14.47,287.81,11.46,82.1,16.5,13.55,2.95,8.49,13.58,1202.31,0.57,1.06,114.1
997.96,14.47,287.8,11.5,82.3,16.5,13.58,2.92,8.51,13.61,1202.45,0.75,1.6,119.3
998.11,14.46,287.78,11.56,82.7,16.49,13.64,2.85,8.54,13.67,1202.65,0.66,1.36,112.3
998.2,14.47,287.78,11.6,82.9,16.5,13.68,2.82,8.57,13.71,1202.7,0.59,1.44,118.1
998.27,14.54,287.84,11.58,82.4,16.58,13.66,2.92,8.56,13.68,1202.49,0.69,1.28,136.4
998.38,14.47,287.76,11.6,82.9,16.5,13.68,2.82,8.57,13.7,1202.91,0.65,1.08,138.4
998.52,14.53,287.81,11.61,82.6,16.57,13.69,2.88,8.57,13.71,1202.83,0.65,1.08,150.4
998.58,14.56,287.84,11.67,82.8,16.6,13.74,2.86,8.61,13.76,1202.75,1.12,1.72,146.9
998.69,14.56,287.83,11.69,82.9,16.6,13.76,2.84,8.62,13.78,1202.87,1.32,2.2,148.7
998.69,15.06,288.33,11.89,81.3,17.14,13.94,3.21,8.73,13.96,1200.71,1.2,1.96,148.1
998.74,15.67,288.93,11.91,78.3,17.83,13.96,3.87,8.74,13.98,1198.23,1.05,1.84,156.9
998.8,16.06,289.32,12.03,77,18.28,14.08,4.2,8.81,14.09,1196.63,1,2,139.7
998.91,16.39,289.64,12.08,75.6,18.67,14.11,4.56,8.84,14.13,1195.38,1.33,2.28,134.4
999.07,16.25,289.49,12.06,76.2,18.5,14.1,4.4,8.83,14.11,1196.15,1.14,1.8,140.2
999.12,16.2,289.43,12.07,76.5,18.44,14.11,4.33,8.83,14.12,1196.42,1.15,2.72,4.94
999.14,16.6,289.83,12.01,74.3,18.92,14.06,4.86,8.8,14.07,1194.82,1.4,2.36,214.3
999.08,17.07,290.31,11.99,72,19.49,14.04,5.46,8.78,14.05,1192.81,1.11,2.84,212.2
999.06,17.25,290.49,11.91,70.8,19.72,13.96,5.76,8.74,13.97,1192.09,2.13,4.08,215.8
998.99,17.41,290.65,11.93,70.2,19.92,13.98,5.94,8.75,14,1191.34,2.49,3.68,196.8
999.06,17.59,290.83,11.9,69.26,20.14,13.95,6.19,8.73,13.97,1190.7,2.45,4.61,207.1
999.06,17.83,291.07,11.93,68.35,20.45,13.98,6.47,8.75,13.99,1189.7,2.54,3.56,236.3
999.07,18.05,291.29,11.98,67.64,20.74,14.03,6.71,8.78,14.04,1188.8,1.85,4,240.7
999.21,18.18,291.41,11.8,66.31,20.91,13.86,7.04,8.68,13.87,1188.5,3.3,4.61,250.5
999.33,18.24,291.46,11.79,65.98,20.99,13.85,7.14,8.66,13.86,1188.42,2.74,4.38,236
999.45,18.49,291.7,11.86,65.26,21.32,13.91,7.41,8.7,13.92,1187.51,1.95,4.44,249
999.46,19.13,292.34,12.02,63.37,22.19,14.06,8.13,8.8,14.07,1184.85,1.94,3.8,248
999.4,19.31,292.52,11.98,62.52,22.44,14.03,8.41,8.78,14.04,1184.06,3.25,5.02,241.4
999.42,19.12,292.33,11.89,62.89,22.17,13.95,8.23,8.72,13.95,1184.9,2.74,5.21,250.4
999.38,19.05,292.26,11.61,61.99,22.08,13.69,8.39,8.56,13.69,1185.25,2.51,5.29,249.1
999.43,19.26,292.47,11.55,60.95,22.37,13.63,8.73,8.53,13.64,1184.48,2.46,5.85,244.1
999.39,18.97,292.18,11.66,62.53,21.97,13.74,8.23,8.59,13.74,1185.56,3.28,5.36,243.8
999.25,19.42,292.64,11.64,60.7,22.59,13.71,8.88,8.58,13.72,1183.59,3.77,5.52,209.3
999.31,19.84,293.06,11.36,58.07,23.19,13.47,9.72,8.42,13.48,1182.07,4.41,6.33,226.8
999.32,19.35,292.57,11.06,58.65,22.49,13.19,9.3,8.25,13.2,1184.19,5.21,8.81,211.3
999.31,19.42,292.64,11.13,58.69,22.59,13.26,9.33,8.29,13.27,1183.86,5.56,7.53,214.9
999.29,19.62,292.84,10.82,56.79,22.87,12.99,9.88,8.13,13,1183.14,5.15,10.45,213.3
999.27,19.62,292.84,10.82,56.76,22.87,12.98,9.89,8.12,12.99,1183.13,5.32,8.61,212.7
999.24,20.06,293.28,10.78,55.1,23.51,12.95,10.55,8.1,12.96,1181.33,5.34,8.05,219.5
999.25,19.97,293.19,10.86,55.72,23.38,13.03,10.35,8.15,13.04,1181.67,5.37,9.03,217.4
999.23,19.75,292.97,10.63,55.62,23.06,12.83,10.23,8.02,12.84,1182.62,5.02,7.15,212.1
999.11,20,293.23,10.17,53.11,23.42,12.44,10.98,7.78,12.45,1181.65,4.8,7.81,207.3
999.06,20.48,293.72,10.47,52.6,24.13,12.69,11.44,7.94,12.7,1179.54,3.25,5.84,227.9
998.94,20.26,293.51,10.23,52.46,23.8,12.49,11.31,7.81,12.5,1180.38,4.53,6.65,210.7
