p (mbar),Tpot (K),rho (g/m**3),wd(deg)
992.51,293.32,1175.82,221.2
992.56,293.39,1175.55,222
992.57,293.16,1176.58,222.7
992.66,293.05,1177.2,251.6
992.71,293.1,1176.86,235.9
992.74,292.83,1177.9,214.6
992.88,292.07,1180.99,222.4
993.04,291.54,1183.16,219.6
993.2,291.2,1184.65,229.5
993.33,290.96,1185.71,243.6
993.36,290.82,1186.22,226.3
993.49,290.59,1187.25,225.3
993.66,290.33,1188.47,227
993.89,290.07,1189.75,226
994.13,289.85,1190.89,223
994.3,289.63,1191.94,244.3
994.42,289.41,1192.99,237.6
994.52,289.3,1193.55,245.2
994.68,289.18,1194.22,258.4
994.84,289.12,1194.63,229.9
994.94,288.98,1195.3,229.5
995.02,288.88,1195.78,245.7
995.1,288.82,1196.15,255.7
995.14,288.75,1196.48,230.6
995.26,288.68,1196.89,192.8
995.36,288.55,1197.53,203.7
995.38,288.41,1198.17,224.5
995.37,288.23,1198.94,212.4
995.38,288.19,1199.13,233.1
995.47,288.08,1199.66,253.2
995.57,288,1200.08,238.6
995.49,287.96,1200.14,231.5
995.49,288.04,1199.77,246.3
995.47,288.09,1199.51,250.6
995.53,288.12,1199.43,248.8
995.63,288.13,1199.46,249.1
995.73,288.19,1199.27,242.7
995.79,288.22,1199.19,286.8
995.86,288.23,1199.19,192.5
995.91,288.29,1198.99,162
995.99,287.95,1200.43,107
996.07,287.86,1200.83,133.7
996.14,287.84,1201,160.2
996.23,287.72,1201.57,198.6
996.23,287.58,1202.16,217
996.23,287.5,1202.48,176.2
996.17,287.43,1202.73,178.3
996.18,287.46,1202.54,63.88
996.16,287.44,1202.65,137.5
996.19,287.34,1203.06,152.1
996.2,287.35,1203.05,151.8
996.23,287.36,1203.04,150.2
996.24,287.44,1202.69,162.2
996.24,287.51,1202.39,192.7
996.25,287.43,1202.74,213.8
996.31,287.45,1202.68,144.4
996.36,287.42,1202.87,155.3
996.37,287.44,1202.78,183.9
996.37,287.38,1203.03,139.3
996.45,287.44,1202.79,114.7
996.58,287.4,1203.08,134
996.69,287.3,1203.61,296.3
996.72,287.31,1203.59,159.2
996.83,287.43,1203.13,97.9
996.99,287.56,1202.74,127.6
997.01,287.54,1202.83,206.1
997.03,287.59,1202.58,92.9
997.1,287.84,1201.58,20.43
997.21,287.76,1202.02,80.5
997.29,287.58,1202.83,99.2
997.39,287.45,1203.49,79.4
997.54,287.48,1203.45,65.88
997.68,287.61,1203.03,85.2
997.73,287.71,1202.67,161.3
997.83,287.81,1202.31,114.1
997.96,287.8,1202.45,119.3
998.11,287.78,1202.65,112.3
998.2,287.78,1202.7,118.1
998.27,287.84,1202.49,136.4
998.38,287.76,1202.91,138.4
998.52,287.81,1202.83,150.4
998.58,287.84,1202.75,146.9
998.69,287.83,1202.87,148.7
998.69,288.33,1200.71,148.1
998.74,288.93,1198.23,156.9
998.8,289.32,1196.63,139.7
998.91,289.64,1195.38,134.4
999.07,289.49,1196.15,140.2
999.12,289.43,1196.42,4.94
999.14,289.83,1194.82,214.3
999.08,290.31,1192.81,212.2
999.06,290.49,1192.09,215.8
998.99,290.65,1191.34,196.8
999.06,290.83,1190.7,207.1
999.06,291.07,1189.7,236.3
999.07,291.29,1188.8,240.7
999.21,291.41,1188.5,250.5
999.33,291.46,1188.42,236
999.45,291.7,1187.51,249
999.46,292.34,1184.85,248
999.4,292.52,1184.06,241.4
999.42,292.33,1184.9,250.4
999.38,292.26,1185.25,249.1
999.43,292.47,1184.48,244.1
999.39,292.18,1185.56,243.8
999.25,292.64,1183.59,209.3
999.31,293.06,1182.07,226.8
999.32,292.57,1184.19,211.3
999.31,292.64,1183.86,214.9
999.29,292.84,1183.14,213.3
999.27,292.84,1183.13,212.7
999.24,293.28,1181.33,219.5
999.25,293.19,1181.67,217.4
999.23,292.97,1182.62,212.1
999.11,293.23,1181.65,207.3
999.06,293.72,1179.54,227.9
998.94,293.51,1180.38,210.7
998.91,293.69,1179.59,211.1
998.84,294.11,1177.71,209
998.8,294.74,1175.2,206.8
998.81,294.71,1175.34,209.9
998.82,294.94,1174.56,216.3
998.8,294.76,1175.29,217.6
998.91,294.77,1175.3,218
998.86,295.02,1174.32,211.9
998.89,294.87,1174.89,216.5
998.92,294.93,1174.6,235.4
998.86,295.59,1172.02,240.5
998.77,295.47,1172.4,217.8
998.71,295.44,1172.49,215.2
998.72,295.62,1171.72,214.1
998.75,295.14,1173.74,229.3
998.81,295.36,1172.91,244.2
998.95,295.36,1172.94,242.7
